"zip_code","crash_count","injured_count","killed_count","injured_ped_count"
10000,157,62,1,0
10001,6039,916,6,3
10002,5680,1430,6,5
10003,3796,842,2,1
10004,869,108,0,0
10005,519,83,0,0
10006,569,90,0,0
10007,1648,301,1,0
10009,2250,604,1,0
10010,3001,750,2,2
10011,4090,700,7,6
10012,3068,587,0,0
10013,5468,876,3,2
10014,2186,351,0,0
10016,6201,1304,1,1
10017,3687,719,2,1
10018,4470,622,5,4
10019,6533,1065,1,0
10020,290,28,0,0
10021,2394,356,2,2
10022,6109,1025,8,7
10023,2757,498,5,4
10024,2337,375,1,1
10025,2742,626,6,6
10026,1515,491,3,2
10027,3391,998,3,2
10028,1797,337,3,3
10029,4132,1057,10,6
10030,1339,383,1,0
10031,1866,482,2,1
10032,2704,668,2,1
10033,2500,587,1,1
10034,2001,535,2,2
10035,3746,1038,5,2
10036,6169,888,7,4
10037,1271,391,1,1
10038,1287,222,0,0
10039,924,209,1,1
10040,1027,245,0,0
10041,5,0,0,0
10045,2,0,0,0
10048,17,0,0,0
10055,2,1,0,0
10065,3637,513,1,1
10069,118,10,0,0
10075,1272,194,3,3
10103,6,3,0,0
10105,5,1,0,0
10107,3,1,0,0
10110,2,0,0,0
10111,7,0,0,0
10112,10,2,0,0
10115,2,0,0,0
10118,16,2,0,0
10119,86,10,0,0
10120,3,0,0,0
10121,33,1,0,0
10122,1,0,0,0
10123,12,2,0,0
10128,2405,452,4,4
10151,3,0,0,0
10152,2,0,0,0
10153,5,0,0,0
10154,4,0,0,0
10155,1,0,0,0
10158,2,0,0,0
10165,17,2,0,0
10167,2,2,0,0
10168,49,11,0,0
10169,30,5,0,0
10170,3,0,0,0
10171,3,0,0,0
10172,47,7,0,0
10173,1,0,0,0
10174,4,2,0,0
10177,2,0,0,0
10178,2,1,0,0
10179,2,1,0,0
10271,8,2,0,0
10278,30,11,0,0
10279,5,0,0,0
10280,92,20,1,1
10281,41,4,1,0
10282,63,7,0,0
10301,3047,833,4,0
10302,230,70,1,1
10303,218,32,0,0
10304,3139,890,3,1
10305,2639,738,5,1
10306,3830,1115,4,3
10307,460,106,2,1
10308,1192,376,5,2
10309,1657,390,5,1
10310,1805,542,1,0
10312,2798,729,4,3
10314,1738,459,3,2
10451,4151,1291,8,4
10452,2914,844,5,3
10453,3206,1162,3,0
10454,3309,1098,7,3
10455,3092,1116,2,1
10456,3451,1175,1,0
10457,4118,1429,4,0
10458,4381,1348,4,3
10459,3465,1160,7,2
10460,4109,1316,7,6
10461,3639,1086,3,1
10462,3549,952,5,3
10463,3192,705,5,2
10464,370,140,1,0
10465,2278,601,3,2
10466,4630,1557,7,4
10467,5423,1551,8,3
10468,3738,1232,1,1
10469,4055,1572,1,1
10470,1614,524,0,0
10471,985,297,2,2
10472,3201,967,6,2
10473,2574,708,2,2
10474,2023,406,6,2
10475,2203,608,2,1
10803,1,0,0,0
11001,227,61,0,0
11004,1235,351,4,2
11005,48,14,1,0
11040,183,43,0,0
11101,7291,1759,5,3
11102,1464,337,3,1
11103,1819,476,1,1
11104,1175,347,3,1
11105,1416,351,4,0
11106,2089,691,4,2
11109,65,9,0,0
11201,6466,1352,4,4
11203,6910,2959,7,2
11204,3910,1156,4,2
11205,3171,891,2,2
11206,5284,1697,11,6
11207,10292,4022,16,8
11208,6324,2509,12,6
11209,3200,730,2,1
11210,4487,1722,2,1
11211,5296,1490,9,5
11212,6471,2633,8,6
11213,4586,1775,6,3
11214,3851,994,5,4
11215,4444,1063,5,3
11216,3993,1326,7,2
11217,4440,1054,4,4
11218,4006,1241,8,5
11219,4170,1162,3,1
11220,5154,1427,6,3
11221,4206,1466,3,2
11222,3802,653,4,1
11223,4444,1322,8,4
11224,2137,556,0,0
11225,3272,1173,3,2
11226,6326,2365,5,4
11228,2368,724,5,4
11229,3949,1241,9,6
11230,5271,1518,4,1
11231,2278,422,1,1
11232,2716,736,6,4
11233,5627,1997,6,4
11234,6751,2193,13,3
11235,4743,1213,7,5
11236,7190,3067,17,5
11237,3144,837,3,1
11238,3582,1210,4,3
11239,930,242,1,0
11242,1,0,0,0
11249,2139,470,5,1
11354,4798,1017,11,10
11355,4212,971,7,5
11356,1596,292,1,1
11357,1638,436,1,0
11358,2339,579,1,0
11359,12,0,0,0
11360,609,118,0,0
11361,2268,444,0,0
11362,946,191,1,1
11363,586,127,0,0
11364,1429,316,8,3
11365,1668,418,1,0
11366,1167,336,1,1
11367,2224,559,3,3
11368,5131,1598,8,5
11369,2398,726,2,1
11370,1801,527,2,1
11372,4154,1235,8,8
11373,4731,1109,8,5
11374,2159,509,4,4
11375,3334,796,5,4
11377,4788,1470,8,4
11378,3190,698,2,1
11379,2026,543,4,4
11385,6736,1765,7,5
11411,1687,763,2,0
11412,2511,1036,0,0
11413,4000,1553,4,2
11414,1639,521,4,3
11415,1041,191,0,0
11416,1607,504,2,0
11417,2607,900,0,0
11418,2444,652,3,1
11419,3128,965,5,4
11420,3942,1346,10,5
11421,2013,563,4,3
11422,3365,1294,6,3
11423,1974,628,2,2
11426,1075,277,2,1
11427,1481,411,1,0
11428,1333,420,1,1
11429,1844,694,0,0
11430,121,23,0,0
11432,4289,1171,4,4
11433,2727,1006,2,1
11434,6280,2282,10,3
11435,3524,1155,4,2
11436,1269,470,0,0
11691,2839,822,6,3
11692,730,232,1,1
11693,711,214,0,0
11694,772,209,0,0
11695,7,5,0,0
11697,66,21,0,0
